#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	01
#Site=	01-05-25
#Title=	A1_m06
#Remark=	smp5
#Date=	01.04.2025 14:36
#Acquired=	01.04.2025 14:36:15
101.125	77
102.409	68.5
103.692	71.5
104.976	80.5
106.259	78.5
107.542	76.5
108.824	74
110.106	68.5
111.388	77.5
112.67	71.5
113.951	74
115.233	74.5
116.514	82
117.795	74
119.075	78
120.356	77
121.636	81.5
122.916	81.5
124.196	82.5
125.476	73.5
126.755	82.5
128.035	84.5
129.314	89.5
130.592	85.5
131.871	88
133.149	86.5
134.428	88.5
135.706	96
136.983	103.5
138.261	99.5
139.538	99.5
140.814	106
142.091	106.5
143.368	107
144.644	106
145.92	106.5
147.197	112
148.473	113
149.747	115
151.022	119.5
152.297	128
153.573	123
154.847	121
156.122	132.5
157.395	124
158.669	130.5
159.943	126
161.217	131
162.491	123.5
163.763	121
165.036	129
166.309	123
167.582	121.5
168.853	121.5
170.125	113
171.397	115
172.668	118.5
173.94	112
175.211	117
176.482	119
177.752	115
179.023	123
180.294	125.5
181.563	123
182.833	120.5
184.103	120
185.372	132
186.641	120.5
187.909	126.5
189.179	129
190.448	123.5
191.715	127
192.984	123.5
194.251	124
195.519	117
196.787	116
198.053	124
199.321	113.5
200.587	117
201.854	116
203.12	113.5
204.386	108
205.652	107.5
206.918	107
208.183	101.5
209.449	99.5
210.713	97.5
211.978	91.5
213.242	95.5
214.508	92
215.771	92.5
217.036	98
218.299	87.5
219.563	86.5
220.826	86.5
222.09	86
223.352	81
224.614	87
225.877	82
227.139	87.5
228.402	81.5
229.663	81
230.924	84
232.186	82
233.447	82
234.707	79.5
235.969	77
237.229	77.5
238.489	74.5
239.75	82
241.009	74.5
242.269	78
243.529	77.5
244.788	75.5
246.046	70.5
247.306	72
248.564	75
249.822	74
251.08	74
252.339	72
253.596	74
254.854	76
256.111	67
257.369	68
258.625	76
259.882	72.5
261.138	68.5
262.394	70
263.651	70
264.906	66.5
266.162	67.5
267.417	68
268.672	69
269.926	66
271.181	65
272.437	68.5
273.691	65.5
274.945	67.5
276.198	69
277.452	69.5
278.705	66
279.958	72.5
281.211	70
282.464	66.5
283.716	65
284.969	64
286.221	66.5
287.473	67.5
288.726	70.5
289.977	68
291.228	66.5
292.48	68.5
293.73	63
294.981	69
296.232	62.5
297.482	67.5
298.73	72.5
299.98	72
301.23	69
302.479	63.5
303.729	64
304.978	70.5
306.227	68
307.475	67
308.724	63.5
309.972	64
311.22	66
312.468	65.5
313.715	68
314.961	67.5
316.209	66
317.456	64
318.703	70
319.949	65
321.196	65.5
322.44	71
323.686	71.5
324.932	74
326.178	69.5
327.423	63.5
328.667	70
329.912	70
331.157	69
332.402	62
333.645	66
334.889	65.5
336.133	71
337.377	66.5
338.619	68.5
339.862	67
341.106	67.5
342.349	68
343.59	64
344.833	65.5
346.075	59
347.316	68.5
348.558	64.5
349.8	69.5
351.04	67
352.281	72.5
353.523	65.5
354.762	69
356.003	70
357.242	67
358.483	67
359.723	65
360.961	67
362.201	67
363.44	64
364.679	65.5
365.917	66.5
367.156	59
368.393	66
369.632	62.5
370.87	64.5
372.107	63.5
373.345	65.5
374.582	66
375.819	68
377.055	66.5
378.293	65
379.528	62.5
380.764	69
382	65.5
383.235	62.5
384.471	67.5
385.706	62
386.942	62
388.176	67
389.41	66.5
390.646	60.5
391.879	62
393.114	62.5
394.347	66
395.58	65
396.815	64.5
398.047	63
399.28	63.5
400.513	59
401.745	61.5
402.977	62.5
404.21	62.5
405.442	57
406.673	67
407.906	64
409.137	63
410.367	65
411.598	68.5
412.829	66
414.06	65.5
415.289	64
416.519	64
417.75	65.5
418.979	65.5
420.208	64.5
421.437	67
422.666	69
423.896	66
425.124	62.5
426.352	62.5
427.58	61
428.808	64.5
430.036	67
431.264	63
432.492	64
433.719	61.5
434.945	65
436.172	62
437.398	63
438.624	66.5
439.85	63
441.076	66
442.302	67.5
443.528	63.5
444.754	63
445.979	74
447.203	66
448.428	72.5
449.652	79.5
450.877	67.5
452.101	66
453.324	67
454.548	73
455.772	74
456.995	73.5
458.218	72
459.441	76
460.663	68
461.884	74.5
463.107	71
464.329	83.5
465.55	81.5
466.772	81
467.994	87.5
469.215	91.5
470.436	85.5
471.657	98.5
472.878	99.5
474.097	103
475.317	114
476.537	119.5
477.757	129
478.977	138
480.196	155.5
481.414	167
482.633	180
483.852	196
485.071	209
486.29	216
487.507	234.5
488.725	227.5
489.943	231
491.16	230.5
492.377	222.5
493.594	210
494.811	210.5
496.028	190.5
497.244	186
498.46	177.5
499.677	171
500.892	161
502.108	151
503.323	137
504.538	131.5
505.753	125.5
506.968	125
508.182	120
509.397	110
510.612	107.5
511.825	109.5
513.039	96.5
514.252	97.5
515.466	100
516.679	93.5
517.892	92.5
519.105	89
520.317	84.5
521.53	86
522.741	91
523.953	79.5
525.164	80.5
526.377	80.5
527.587	81.5
528.799	80
530.009	76
531.221	69.5
532.43	74.5
533.641	74.5
534.851	77
536.062	76.5
537.271	78.5
538.481	73.5
539.69	75.5
540.898	72
542.108	67
543.316	70.5
544.525	70
545.733	73
546.94	68
548.149	71
549.356	70.5
550.563	66
551.771	74.5
552.978	61
554.184	71
555.392	70.5
556.598	72.5
557.804	65.5
559.011	63.5
560.216	66.5
561.421	70
562.628	68
563.833	62
565.037	67
566.242	67
567.447	59.5
568.651	68
569.855	65.5
571.059	66
572.263	67.5
573.467	62.5
574.67	63
575.873	65
577.076	63.5
578.279	65
579.481	64.5
580.685	59
581.887	61
583.088	60.5
584.29	68
585.491	62.5
586.693	62.5
587.894	61
589.094	64
590.297	62
591.497	70.5
592.697	59.5
593.897	70.5
595.097	64
596.297	67.5
597.497	64.5
598.696	64
