#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	smp
#Site=	01-05-25
#Title=	A2_m05
#Remark=	smp5
#Date=	01.04.2025 14:03
#Acquired=	01.04.2025 14:03:44
101.125	31
102.409	35
103.692	34
104.976	43
106.259	32.5
107.542	35.5
108.824	35
110.106	35
111.388	33.5
112.67	36
113.951	37.5
115.233	36
116.514	31
117.795	37
119.075	35
120.356	36
121.636	42.5
122.916	39
124.196	37.5
125.476	37.5
126.755	36.5
128.035	42.5
129.314	39
130.592	41.5
131.871	42.5
133.149	43
134.428	44.5
135.706	42
136.983	40
138.261	48
139.538	45.5
140.814	44.5
142.091	45
143.368	48.5
144.644	49.5
145.92	45
147.197	48.5
148.473	45
149.747	46
151.022	52
152.297	55
153.573	53.5
154.847	54.5
156.122	51
157.395	55.5
158.669	55.5
159.943	50.5
161.217	50.5
162.491	51
163.763	56
165.036	51
166.309	54.5
167.582	49.5
168.853	54
170.125	51
171.397	47.5
172.668	47.5
173.94	51
175.211	48
176.482	55.5
177.752	51.5
179.023	50.5
180.294	52.5
181.563	48.5
182.833	55.5
184.103	47
185.372	53
186.641	53
187.909	54
189.179	51.5
190.448	53
191.715	53
192.984	52
194.251	49.5
195.519	49
196.787	52
198.053	47
199.321	49.5
200.587	49
201.854	52.5
203.12	45
204.386	48
205.652	45
206.918	49
208.183	46.5
209.449	44
210.713	43
211.978	37
213.242	43.5
214.508	43.5
215.771	38.5
217.036	45
218.299	38.5
219.563	41
220.826	45
222.09	39
223.352	39.5
224.614	36
225.877	43.5
227.139	39
228.402	35.5
229.663	38.5
230.924	38
232.186	38.5
