#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	a2
#Site=	plain
#Title=	bolusa2plain
#Remark=	com
#Date=	16.01.2026 14:06
#Acquired=	16.01.2026 14:06:16
100.687	27
101.971	35
103.254	34.5
104.537	26
105.82	33
107.103	28
108.387	27.5
109.669	28.5
110.951	34.5
112.233	29
113.514	30
114.796	30.5
116.077	30
117.358	37
118.639	29.5
119.919	27
121.2	31
122.48	33.5
123.76	33.5
125.039	32
126.319	35
127.598	30.5
128.877	34
130.156	36
131.435	36
132.713	33.5
133.992	32.5
135.268	34
136.546	39
137.824	34
139.101	37.5
140.378	38
141.655	34.5
142.932	38
144.209	40.5
145.485	41
146.76	40
148.036	42
149.312	34
150.587	39.5
151.862	38
153.138	38.5
154.411	43
155.686	43
156.96	39
158.235	42
159.509	40
160.781	45.5
162.055	39
163.328	41.5
164.602	41.5
165.873	40.5
167.146	40.5
168.419	40
169.691	40
170.962	38.5
172.234	43
173.506	43
174.777	43.5
176.047	41.5
177.318	37.5
178.589	45.5
179.859	36
181.129	39.5
182.4	46
183.668	39.5
184.938	37.5
186.207	41
187.476	45.5
188.746	41.5
190.013	42
191.282	48
192.551	42
193.818	42
195.086	34
196.353	38.5
197.621	42.5
198.887	36
200.154	44
201.422	38.5
202.687	43
203.954	40.5
205.219	39
206.486	34.5
207.751	40
209.017	36.5
210.281	37.5
211.547	34.5
212.811	30.5
214.076	36.5
215.339	36
216.603	31.5
217.867	36.5
219.13	34
220.395	36.5
221.657	38
222.921	36
224.183	33
225.445	31
226.708	29
227.97	33
229.232	35.5
230.493	32
231.754	32
233.016	32
234.277	33
235.537	29
236.799	35.5
238.059	34.5
239.318	28.5
240.579	32
241.839	32
243.098	29
244.358	31
245.617	32
246.875	30.5
248.133	34
249.393	31.5
250.651	35
251.908	31.5
253.166	32
254.424	31
255.681	27
256.938	27
258.195	31
259.451	29.5
260.709	32
261.965	30.5
263.221	30
264.476	29.5
265.732	32
266.988	35
268.243	27
269.498	27
270.753	29
272.007	30
273.261	25.5
274.515	29
275.769	28.5
277.022	27.5
278.277	30
279.53	31.5
280.783	26.5
282.036	25.5
283.289	29.5
284.541	29
285.793	28.5
287.045	27
288.297	27
289.548	29.5
290.8	28.5
292.051	27.5
293.302	27
294.552	32
295.803	32
297.053	29
298.303	32.5
299.553	30.5
300.803	30
302.053	29.5
303.302	29
304.551	28.5
305.8	28
307.047	32
308.296	31
309.544	30
310.792	31.5
312.04	29
313.288	29.5
314.535	25.5
315.783	29.5
317.03	28.5
318.275	31.5
319.522	32
320.768	27.5
322.015	27.5
323.261	29
324.505	27
325.751	33.5
326.997	28
328.242	30.5
329.487	22.5
330.73	30
331.975	31
333.22	31
334.464	29
335.707	24
336.95	28
338.194	32
339.438	29
340.68	31
341.923	27
343.166	29
344.407	29.5
345.649	30
346.892	29.5
348.132	28
349.374	28.5
350.616	29
351.856	26
353.097	29.5
354.337	30.5
355.578	32.5
356.818	31.5
358.058	33
