#Acq. time (s)=	2
#Accumulations=	2
#Range (cm-¹)=	100...1000
#Windows=	1
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	a3
#Site=	lined
#Title=	bolusa3lined
#Remark=	proofdeletethis
#Date=	13.01.2026 13:24
#Acquired=	13.01.2026 13:24:26
100.666	18
101.95	24
103.233	16
104.516	28
105.799	24
107.083	26
108.365	20
109.648	22
110.93	26
112.212	24
113.493	24
114.775	30
116.056	26
117.337	24
118.618	26
119.898	24
121.178	30
122.459	22
123.739	22
125.018	24
126.298	26
127.577	26
128.856	24
130.135	24
131.414	24
132.692	26
133.971	26
135.249	22
136.525	20
137.803	28
139.08	24
140.357	18
141.634	24
142.911	26
144.188	20
145.464	26
146.74	24
148.015	26
149.291	20
150.566	24
151.842	22
153.117	24
154.392	24
155.665	20
156.939	26
158.214	24
159.488	22
160.76	26
162.034	26
163.307	32
164.581	20
165.854	16
167.125	24
168.398	26
169.67	22
170.941	26
172.213	20
173.485	24
174.756	24
176.026	20
177.298	22
178.569	22
179.838	24
181.109	26
182.379	26
183.648	22
184.918	16
186.187	28
187.455	26
188.725	20
189.992	24
191.261	24
192.53	24
193.797	24
195.065	22
196.332	20
197.6	20
198.866	24
200.134	18
201.401	28
202.667	18
203.933	28
205.199	26
206.465	20
207.73	22
208.996	22
210.26	20
211.526	30
212.79	18
214.055	24
215.319	30
216.582	28
217.847	28
219.11	28
220.374	28
221.636	22
222.9	26
224.162	28
225.424	30
226.687	30
227.949	26
229.212	32
230.473	24
231.734	24
232.996	30
234.256	28
235.517	24
236.778	28
238.038	26
239.298	30
240.559	26
241.818	26
243.077	24
244.337	30
245.596	26
246.854	26
248.113	28
249.372	28
250.63	24
251.887	34
253.145	28
254.404	34
255.661	24
256.917	22
258.174	24
259.432	26
260.688	18
261.944	30
263.2	24
264.456	26
265.711	32
266.968	32
268.223	36
269.477	30
270.732	32
271.986	24
273.24	28
274.494	26
275.748	28
277.003	28
278.257	34
279.51	30
280.763	22
282.015	26
283.268	26
284.52	30
285.773	30
287.024	28
288.276	30
289.528	26
290.779	34
292.03	32
293.281	30
294.532	34
295.782	32
297.033	34
298.283	32
299.533	32
300.783	34
302.032	32
303.281	26
304.531	34
305.78	32
307.028	36
308.275	26
309.524	28
310.772	32
312.02	30
313.267	30
314.515	34
315.762	30
317.009	36
318.255	26
319.501	28
320.748	30
321.994	30
323.24	26
324.486	22
325.731	34
326.976	32
328.221	30
329.466	32
330.71	30
331.955	30
333.199	28
334.443	28
335.686	34
336.93	28
338.174	26
339.417	26
340.659	24
341.902	28
343.145	28
344.386	22
345.629	26
346.871	28
348.112	28
349.354	26
350.595	28
351.836	20
353.077	34
354.318	28
355.557	30
356.798	26
358.037	26
359.277	28
360.518	32
361.756	28
362.996	30
364.234	32
365.473	22
366.711	28
367.95	24
369.187	28
370.426	26
371.662	26
372.901	32
374.137	28
375.375	34
376.611	26
377.848	30
379.084	28
380.321	22
381.556	28
382.793	26
384.027	26
385.264	26
386.498	24
387.732	26
388.968	26
390.202	28
391.437	26
392.671	30
393.904	28
395.138	24
396.371	26
397.604	24
398.838	24
400.07	26
401.302	26
402.536	28
403.768	26
404.999	26
406.232	28
407.463	26
408.694	24
409.925	26
411.157	22
412.387	30
413.617	26
414.847	26
416.078	24
417.308	28
418.537	24
419.767	24
420.997	24
422.226	26
423.454	26
424.683	30
425.911	30
427.139	28
428.368	32
429.596	28
430.823	26
432.05	24
433.277	26
434.504	26
435.731	22
436.957	28
438.185	26
439.411	20
440.637	32
441.862	26
443.088	24
444.313	26
445.538	24
446.763	20
447.988	20
449.212	24
450.436	34
451.661	24
452.884	28
454.108	24
455.332	24
456.555	24
457.778	20
459.001	20
460.224	28
461.446	30
462.668	30
463.891	22
465.111	28
466.333	28
467.554	26
468.776	26
469.997	20
471.218	30
472.439	32
473.659	22
474.878	28
476.098	24
477.318	28
478.538	26
479.758	30
480.977	20
482.195	30
483.414	34
484.633	32
485.851	28
487.07	24
488.287	30
489.505	34
490.723	32
491.94	28
493.156	28
494.374	34
495.591	34
496.806	28
498.023	34
499.239	32
500.456	34
501.67	36
502.886	34
504.102	40
505.316	48
506.531	44
507.745	46
508.96	54
510.175	62
511.388	76
512.602	88
513.815	120
515.029	198
516.243	338
517.455	680
518.669	1150
519.88	1002
521.093	506
522.305	250
523.518	154
524.729	112
525.941	82
527.151	70
528.363	54
529.574	54
530.785	52
531.995	44
533.206	36
534.416	40
535.626	36
536.835	32
538.046	34
539.254	32
540.463	26
541.673	34
542.881	26
544.09	26
545.298	30
546.506	26
547.714	34
548.922	26
550.13	24
551.337	28
552.544	26
553.751	28
554.958	24
556.164	32
557.37	26
558.577	26
559.782	28
560.987	22
562.194	24
563.399	28
564.604	28
565.808	24
567.014	24
568.218	32
569.422	24
570.626	32
571.829	28
573.034	22
574.237	22
575.44	26
576.643	28
577.846	30
579.048	28
580.252	24
581.454	24
582.656	24
583.857	30
585.059	30
586.26	20
587.461	28
588.662	28
589.863	30
591.065	24
592.265	26
593.465	26
