#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at3
#Site=	plain
#Title=	bolusat3plain
#Remark=	com
#Date=	16.01.2026 17:05
#Acquired=	16.01.2026 17:05:33
100.564	27.5
101.847	34
103.131	33
104.414	33.5
105.697	27.5
106.979	28
108.262	32
109.544	29.5
110.826	30
112.109	32
113.391	27
114.672	28.5
115.954	31
117.235	31
118.515	30.5
119.796	33
121.076	31.5
122.357	32.5
123.637	30
124.916	29
126.196	26.5
127.475	31.5
128.754	35.5
130.033	35
131.31	31
132.589	28
133.867	31.5
135.145	36
136.423	29
137.701	34
138.978	36.5
140.256	35
141.533	37.5
142.809	35
144.086	39
145.361	38
146.637	40
147.913	37.5
149.189	41
150.464	37
151.74	39
153.014	40.5
154.288	38.5
155.563	40
156.838	43
158.112	44
159.385	41
160.659	39
161.932	36.5
163.206	40.5
164.479	36
165.751	39
167.024	43.5
168.296	40.5
169.567	40
170.84	41.5
172.112	40
173.383	35.5
174.654	37
175.925	40
177.196	36
178.466	39.5
179.737	40
181.007	40
182.276	38.5
183.546	44
184.816	40.5
186.085	39.5
187.354	41.5
188.624	40
189.891	42
191.16	40.5
192.427	39
193.696	42
194.964	36.5
196.231	37
197.499	39
198.765	36
200.033	37.5
201.298	39.5
202.566	37
203.831	35
205.098	38
206.363	35
207.629	39.5
208.894	38
210.159	34
211.424	32
212.689	35.5
213.953	37
215.218	39.5
216.481	31.5
217.746	34.5
219.009	36.5
220.273	34
221.536	36
222.798	34
224.062	31
225.323	31.5
226.587	31.5
227.848	35.5
229.109	33.5
230.372	31
231.633	35
232.894	31
234.156	30
235.416	29.5
236.678	31.5
237.937	30
239.197	34
240.457	26.5
